Applicant_ID,Skill_Level,Years_Experience,Expected_Salary
A_496,40,5,40283
A_497,25,11,44516
A_498,50,4,37527
A_499,96,3,53200
A_500,15,7,37945
A_501,21,13,46139
A_502,50,15,59900
A_503,64,9,49404
A_504,23,12,47765
A_505,59,12,56703
A_506,61,0,34428
A_507,88,6,54611
A_508,50,2,32486
A_509,82,14,63908
A_510,14,3,29218
A_511,16,2,30750
A_512,43,1,27548
A_513,48,4,38556
A_514,93,2,43144
A_515,40,8,43487
A_516,33,0,30164
A_517,95,9,57284
A_518,27,11,40607
A_519,27,13,45395
A_520,88,4,52897
A_521,72,9,48853
A_522,10,2,26863
A_523,63,3,40600
A_524,44,1,28561
A_525,2,6,27226
A_526,79,8,48394
A_527,88,9,51179
A_528,61,2,38248
A_529,4,6,26289
A_530,15,13,38879
A_531,59,14,60573
A_532,88,4,48618
A_533,66,9,48368
A_534,60,15,55242
A_535,33,13,48933
A_536,9,11,36525
A_537,24,10,45034
A_538,82,12,60030
A_539,81,10,53095
A_540,70,2,38085
A_541,73,2,40683
A_542,43,0,25952
A_543,77,8,48407
A_544,67,0,39201
A_545,6,10,31764
A_546,31,1,24358
A_547,80,11,61297
A_548,72,15,59079
A_549,35,15,52295
A_550,14,14,43311
A_551,2,7,30430
A_552,82,9,52980
A_553,98,11,57970
A_554,5,6,27649
A_555,4,11,41522
A_556,87,14,60723
A_557,93,3,43855
A_558,94,15,69690
A_559,40,3,33928
A_560,32,6,36021
A_561,19,2,24529
A_562,40,8,43732
A_563,39,12,52260
A_564,88,13,58366
A_565,41,6,36872
A_566,47,15,58544
A_567,26,2,29868
A_568,47,5,38893
A_569,73,13,55730
A_570,4,11,37276
A_571,14,11,35649
A_572,49,4,37422
A_573,22,6,32161
A_574,27,7,33413
A_575,31,4,33270
A_576,45,15,54181
A_577,85,12,58782
A_578,29,14,51812
A_579,49,12,49023
A_580,89,2,45140
A_581,31,9,36392
A_582,36,3,29376
A_583,29,10,42001
A_584,79,10,53522
A_585,40,10,47114
A_586,79,5,43600
A_587,71,7,46518
A_588,83,0,41116
A_589,2,7,26453
A_590,12,13,38966
A_591,20,1,25390
A_592,41,7,39969
A_593,35,10,42203
A_594,12,12,42145
A_595,26,6,35147
A_596,87,6,46251
A_597,41,2,34455
A_598,51,4,36893
A_599,92,5,46585
A_600,82,15,63614
A_601,52,8,43094
A_602,10,15,45651
A_603,58,14,54592
A_604,71,5,44666
A_605,99,9,58336
A_606,42,7,40913
A_607,17,10,35471
A_608,57,9,51868
A_609,85,6,49257
A_610,14,0,28264
A_611,78,9,49589
A_612,74,13,53704
A_613,56,10,48680
A_614,1,9,31530
A_615,81,13,59146
A_616,64,4,37212
A_617,72,9,48954
A_618,68,15,56888
A_619,90,8,57412
A_620,59,5,46754
A_621,41,1,34170
A_622,64,0,34875
A_623,70,11,54424
A_624,39,0,27836
A_625,77,9,55154
A_626,90,4,45971
A_627,100,13,68840
A_628,14,2,27334
A_629,35,3,35483
A_630,4,0,21115
A_631,30,10,41778
A_632,65,0,39771
A_633,64,1,39088
A_634,90,0,40067
A_635,16,0,27534
A_636,60,4,39362
A_637,52,0,34868
A_638,40,11,45058
A_639,7,12,39720
A_640,48,13,48517
A_641,34,6,33636
A_642,55,9,43634
A_643,80,0,38279
A_644,78,5,51867
A_645,42,4,31990
A_646,89,12,58096
A_647,82,9,52108
A_648,69,6,42156
A_649,63,0,38612
A_650,10,4,31064
A_651,58,13,58658
A_652,93,13,60390
A_653,100,15,64025
A_654,7,11,36152
A_655,4,0,18970
A_656,86,6,50505
A_657,21,11,39232
A_658,85,7,50961
A_659,84,14,62196
A_660,69,1,40164
A_661,63,12,51769
A_662,51,14,50288
A_663,82,13,61466
A_664,56,11,49290
A_665,50,7,40769
A_666,95,4,53428
A_667,34,5,32830
A_668,14,6,34504
A_669,52,1,38582
A_670,97,3,53477
A_671,82,5,51995
A_672,91,1,39302
A_673,7,5,30637
A_674,24,7,31515
A_675,23,6,29871
A_676,17,8,38455
A_677,16,15,45899
A_678,70,15,64157
A_679,16,4,25399
A_680,30,2,31927
A_681,74,2,40566
A_682,51,4,37662
A_683,85,9,52025
A_684,86,14,66117
A_685,28,6,35405
A_686,64,14,57484
A_687,9,10,41094
A_688,69,13,60238
A_689,11,11,41707
A_690,87,3,45932
A_691,22,6,38805
A_692,94,14,67425
A_693,67,1,35626
A_694,47,8,44037
A_695,37,8,38103
A_696,65,11,51306
A_697,43,14,47167
A_698,64,14,52133
A_699,93,9,60214
A_700,97,14,60280
A_701,13,0,22247
A_702,44,6,44812
A_703,25,4,36664
A_704,5,12,38283
A_705,30,13,48263
A_706,95,6,48492
A_707,30,1,28263
A_708,24,10,45724
A_709,94,9,56926
A_710,37,0,28479
A_711,51,0,36093
A_712,98,14,69063
A_713,91,10,55693
A_714,40,10,40433
A_715,88,9,55463
A_716,79,10,54098
A_717,55,6,42586
A_718,71,9,56012
A_719,84,15,68245
A_720,39,11,50710
A_721,46,11,52922
A_722,77,3,40597
A_723,32,9,42361
A_724,91,2,42439
A_725,28,11,42541
A_726,71,12,52850
A_727,52,1,37426
A_728,94,6,52717
A_729,97,12,65658
A_730,51,0,35041
A_731,54,1,34018
A_732,90,10,52541
A_733,10,15,42706
A_734,60,11,54472
A_735,75,10,53133
A_736,68,10,55841
A_737,16,15,43951
A_738,18,4,26763
A_739,73,5,44805
A_740,93,3,43085
A_741,58,6,40118
A_742,89,10,61256
A_743,56,4,44929
A_744,61,9,46953
A_745,90,1,46107
A_746,81,13,62933
A_747,44,7,37161
A_748,18,7,33461
A_749,53,1,33715
A_750,13,5,35128
A_751,56,12,55561
A_752,44,10,45147
A_753,35,9,39772
A_754,49,5,35213
A_755,38,1,34334
A_756,13,9,36089
A_757,23,8,34834
A_758,54,1,33478
A_759,4,5,32037
A_760,59,0,30516
A_761,62,13,54661
A_762,8,6,33745
A_763,39,9,39960
A_764,51,12,48307
A_765,76,2,42649
A_766,97,1,42422
A_767,56,2,34519
A_768,34,1,30287
A_769,58,15,53972
A_770,94,13,61829
A_771,62,1,33811
A_772,84,5,53192
A_773,6,12,42956
A_774,31,14,48247
A_775,78,14,63463
A_776,23,14,51729
A_777,48,11,50990
A_778,26,14,44953
A_779,95,3,45327
A_780,86,3,49279
A_781,38,2,36770
A_782,37,15,53602
A_783,42,4,32690
A_784,78,15,61538
A_785,50,2,38360
A_786,4,14,44442
A_787,52,7,40717
A_788,58,3,37656
A_789,9,2,21373
A_790,47,3,32682
A_791,53,15,53678
A_792,98,12,61738
A_793,39,7,39785
A_794,9,7,30568
A_795,58,5,46391
A_796,69,6,43600
A_797,55,0,36950
A_798,59,3,34796
A_799,63,1,37605
A_800,34,12,50097
A_801,69,4,40908
A_802,79,5,44794
A_803,81,7,55110
A_804,72,1,37647
A_805,20,12,43367
A_806,25,4,35773
A_807,10,8,38880
A_808,60,4,39890
A_809,66,7,47967
A_810,99,13,60393
A_811,37,9,39461
A_812,66,3,37621
A_813,20,14,49454
A_814,14,1,21512
A_815,96,6,55963
A_816,16,1,27853
A_817,21,10,45226
A_818,90,8,55747
A_819,87,4,43320
A_820,77,15,59306
A_821,1,7,35003
A_822,18,4,28591
A_823,11,3,29502
A_824,30,5,33492
A_825,83,12,58933
A_826,96,11,63848
A_827,16,1,29360
A_828,6,14,45442
A_829,74,11,53654
A_830,25,1,24301
A_831,28,13,47102
A_832,67,5,45967
A_833,83,8,49101
A_834,98,5,54888
A_835,88,3,42283
A_836,22,15,52703
A_837,16,4,34426
A_838,56,2,38295
A_839,18,13,41798
A_840,62,12,56254
A_841,34,6,36288
A_842,84,3,49044
A_843,63,7,42677
A_844,9,0,21504
A_845,48,14,56034
A_846,39,6,41866
A_847,46,11,50032
A_848,22,15,45351
A_849,39,2,34278
A_850,30,5,30588
A_851,80,3,43795
A_852,84,11,61593
A_853,37,12,49816
A_854,40,1,31073
A_855,26,12,44776
A_856,80,14,60019
A_857,6,1,27430
A_858,88,6,49093
A_859,95,15,61994
A_860,62,12,52987
A_861,27,15,45663
A_862,47,8,44181
A_863,43,8,44292
A_864,16,4,27593
A_865,36,14,49124
A_866,18,10,41803
A_867,79,14,64137
A_868,65,14,53523
A_869,66,6,48176
A_870,39,3,35395
A_871,26,3,34556
A_872,77,4,47919
A_873,87,15,61244
A_874,30,1,30045
A_875,5,13,43942
A_876,28,0,25474
A_877,31,9,45072
A_878,5,11,38802
A_879,10,13,43383
A_880,67,3,42943
A_881,9,8,36238
A_882,19,4,29559
A_883,61,8,50137
A_884,58,11,54468
A_885,59,12,55474
A_886,5,14,46101
A_887,70,13,55079
A_888,82,8,49003
A_889,51,2,37750
A_890,91,3,45402
A_891,71,14,63366
A_892,68,3,38669
A_893,73,8,54705
A_894,12,0,25256
A_895,72,13,57646
A_896,26,7,40190
A_897,90,7,56870
A_898,72,15,61113
A_899,51,12,50891
A_900,63,15,61407
A_901,95,1,48376
A_902,26,11,39469
A_903,16,3,32158
A_904,77,0,42456
A_905,50,12,47212
A_906,53,14,58826
A_907,82,0,35519
A_908,91,2,50435
A_909,85,12,61008
A_910,96,6,51885
A_911,23,15,48713
A_912,8,2,20447
A_913,56,3,42671
A_914,50,13,49234
A_915,16,12,45751
A_916,30,10,45928
A_917,98,6,53588
A_918,16,15,47108
A_919,92,9,59640
A_920,13,11,42980
A_921,61,5,40800
A_922,20,3,28561
A_923,94,1,46634
A_924,38,14,49284
A_925,7,10,36977
A_926,82,4,51178
A_927,76,13,62858
A_928,100,4,50598
A_929,93,1,48464
A_930,82,15,65643
A_931,73,4,47681
A_932,32,4,37260
A_933,70,13,58307
A_934,97,9,59254
A_935,17,4,28483
A_936,23,10,41265
A_937,61,7,44441
A_938,66,4,38219
A_939,60,7,42140
A_940,63,5,38884
A_941,30,15,52189
A_942,62,2,43448
A_943,67,2,38295
A_944,45,11,48512
A_945,55,4,35492
A_946,53,15,52321
A_947,35,5,33800
A_948,77,1,36823
A_949,83,6,51094
A_950,87,11,63224
A_951,40,7,37665
A_952,68,9,45565
A_953,77,14,55809
A_954,60,10,51791
A_955,80,9,52039
A_956,60,9,50072
A_957,57,0,37571
A_958,4,13,44131
A_959,46,3,33279
A_960,77,13,63189
A_961,43,15,56899
A_962,47,12,47631
A_963,38,3,32830
A_964,93,9,52100
A_965,56,4,38863
A_966,76,10,51462
A_967,5,13,40764
A_968,30,6,34671
A_969,35,11,45570
A_970,65,11,53949
A_971,68,0,39568
A_972,32,9,38927
A_973,37,7,35069
A_974,87,8,51136
A_975,70,5,45597
A_976,82,0,42756
A_977,78,14,59898
A_978,40,10,44047
A_979,68,2,37088
A_980,40,7,39444
A_981,34,4,30969
A_982,2,7,29224
A_983,27,4,36295
A_984,14,1,21736
A_985,8,9,34006
A_986,74,6,47428
A_987,17,0,27550
A_988,68,15,61995
A_989,21,3,34641
A_990,98,12,65638
A_991,63,0,37711
A_992,83,6,47462
A_993,6,1,20293
A_994,84,4,48547
A_995,18,2,29060
A_996,7,10,35232
A_997,78,5,45840
A_998,73,12,53249
A_999,66,6,41772
A_1000,43,5,39000
A_1001,43,13,47871
A_1002,90,5,46891
A_1003,69,15,60014
A_1004,31,9,36934
A_1005,26,13,50781
A_1006,50,14,50312
A_1007,57,7,48843
A_1008,59,0,35798
A_1009,95,15,67690
A_1010,93,2,46539
A_1011,27,13,44356
A_1012,92,3,50849
A_1013,78,1,43510
A_1014,91,3,44606
A_1015,17,8,39671
A_1016,31,13,43734
A_1017,74,13,60000
A_1018,57,12,49067
A_1019,15,1,29951
A_1020,49,2,32953
A_1021,31,3,34193
A_1022,58,2,37977
A_1023,69,5,49738
A_1024,43,3,38005
A_1025,6,2,28370
A_1026,73,3,41774
A_1027,86,1,42488
A_1028,56,2,35513
A_1029,95,3,48844
A_1030,56,15,59546
A_1031,10,8,33790
A_1032,57,12,50101
A_1033,91,15,67459
A_1034,82,5,52345
A_1035,60,11,52107
A_1036,33,13,49474
A_1037,86,11,61455
A_1038,23,5,29261
A_1039,41,5,38383
A_1040,24,6,33610
A_1041,95,12,59833
A_1042,74,13,61051
A_1043,55,2,41336
A_1044,58,1,31528
A_1045,10,4,24092
A_1046,43,15,53990
A_1047,26,10,42061
A_1048,69,8,47206
A_1049,90,15,60289
A_1050,100,8,61526
A_1051,46,14,49943
A_1052,31,9,44466
A_1053,99,9,56540
A_1054,33,3,37403
A_1055,36,4,32162
A_1056,56,12,51076
A_1057,27,8,43514
A_1058,54,0,31096
A_1059,79,12,55085
A_1060,75,13,61793
A_1061,45,5,42031
A_1062,68,14,61661
A_1063,94,6,56544
A_1064,48,14,53338
A_1065,65,13,56915
A_1066,100,2,48108
A_1067,55,3,43079
A_1068,100,9,55400
A_1069,57,14,53727
A_1070,14,11,40772
A_1071,51,10,48269
A_1072,98,11,63662
A_1073,18,3,30304
A_1074,21,5,34876
A_1075,89,13,59934
A_1076,69,5,46001
A_1077,58,0,34104
A_1078,62,3,38190
A_1079,68,5,41755
A_1080,49,9,47251
A_1081,97,8,51287
A_1082,99,1,49424
A_1083,37,3,34176
A_1084,93,7,48920
A_1085,73,6,46392
A_1086,46,6,42566
A_1087,83,0,44892
A_1088,2,12,37651
A_1089,71,12,57644
A_1090,9,4,28338
A_1091,37,5,40416
A_1092,37,1,33047
A_1093,70,6,47944
A_1094,92,6,50491
A_1095,81,1,38375
A_1096,92,11,58162
A_1097,30,2,34978
A_1098,29,10,43394
A_1099,89,1,40817
A_1100,88,13,59559
A_1101,86,12,60923
A_1102,45,12,45245
A_1103,27,2,27875
A_1104,91,2,47994
A_1105,60,15,58820
A_1106,7,12,42949
A_1107,63,14,60223
A_1108,44,3,31155
A_1109,57,3,35194
A_1110,75,14,60627
A_1111,11,10,33994
A_1112,37,11,45831
A_1113,21,2,32997
A_1114,6,4,25605
A_1115,80,13,60279
A_1116,91,7,50393
A_1117,35,14,46964
A_1118,32,6,36062
A_1119,79,9,57818
A_1120,76,12,59372
A_1121,77,5,45237
A_1122,67,6,45209
A_1123,54,12,50533
A_1124,96,2,45577
A_1125,30,8,37180
A_1126,22,8,36676
A_1127,45,13,47653
A_1128,52,9,45628
A_1129,38,5,37146
A_1130,97,4,46133
A_1131,67,13,53302
A_1132,27,12,40041
A_1133,14,2,22288
A_1134,30,11,48124
A_1135,86,6,51999
A_1136,87,14,64100
A_1137,88,4,51875
A_1138,79,11,58508
A_1139,9,0,24373
A_1140,84,4,47384
A_1141,69,5,45427
A_1142,37,15,51481
A_1143,54,10,43927
A_1144,90,4,43912
A_1145,91,6,55688
A_1146,90,3,50089
A_1147,8,10,36863
A_1148,87,7,49080
A_1149,40,6,42337
A_1150,3,15,44136
A_1151,37,5,38852
A_1152,23,8,39358
A_1153,58,11,50635
A_1154,52,4,42655
A_1155,50,4,42237
A_1156,96,15,69730
A_1157,93,14,62390
A_1158,86,15,66974
A_1159,62,4,45852
A_1160,40,6,36237
A_1161,56,1,39952
A_1162,73,4,46870
A_1163,16,0,21262
A_1164,88,11,60768
A_1165,100,2,43665
A_1166,97,5,50111
A_1167,47,0,35578
A_1168,40,14,55917
A_1169,19,3,28053
A_1170,12,1,25666
A_1171,84,5,48218
A_1172,62,5,46409
A_1173,34,6,42004
A_1174,2,3,28950
A_1175,57,15,52438
A_1176,84,10,51909
A_1177,14,2,27385
A_1178,2,8,30300
A_1179,7,1,26274
A_1180,50,11,48134
A_1181,23,13,43023
A_1182,34,0,23691
A_1183,33,9,40358
A_1184,49,5,39513
A_1185,21,9,34599
A_1186,40,14,54808
A_1187,72,12,52720
A_1188,56,4,44733
A_1189,47,15,58826
A_1190,44,1,28430
A_1191,42,3,36621
A_1192,15,2,24268
A_1193,65,8,44162
A_1194,31,5,36662
A_1195,67,2,39023
A_1196,28,11,42924
A_1197,10,5,31846
A_1198,55,13,50093
A_1199,54,2,39308
A_1200,79,12,54230
A_1201,22,1,26148
A_1202,32,6,34532
A_1203,45,5,42004
A_1204,27,7,39336
A_1205,86,9,50343
A_1206,65,5,39646
A_1207,54,8,47277
A_1208,35,11,45323
A_1209,73,2,40184
A_1210,20,15,48223
A_1211,29,1,24980
A_1212,36,5,36688
A_1213,78,2,42136
A_1214,10,1,21928
A_1215,51,11,49210
A_1216,13,2,24298
A_1217,9,13,42939
A_1218,58,7,44899
A_1219,30,8,42117
A_1220,54,5,36020
A_1221,59,1,38275
A_1222,49,2,33420
A_1223,40,11,51056
A_1224,18,2,27691
A_1225,72,1,44189
A_1226,86,4,43750
A_1227,30,14,45319
A_1228,87,7,54832
A_1229,65,6,42276
A_1230,7,10,37498
A_1231,21,15,43923
A_1232,4,13,37557
A_1233,82,3,44343
A_1234,11,15,49706
A_1235,63,5,39431
A_1236,41,6,43346
A_1237,80,7,50907
A_1238,22,7,33751
A_1239,78,6,49555
A_1240,57,5,45389
A_1241,29,1,27589
A_1242,91,0,44558
A_1243,34,7,41466
A_1244,53,5,44631
